,state,city,pflag,call_ltrs,month_tot_amt,month_dep_nml,24_hr_max,days_above_1,days_above_50,season_to_date,season_dep_nml,year_to_date_amt,year_to_date_dep_nml,year_to_date_pct_nml
99,MI,FLINT         ,0,FNT,287.0,-89.0,95.0,3.0,1.0,-999.0,-999.0,2748 , 295,112.0
182,PA,MIDDLETOWN    ,0,MDT,148.0,-203.0,107.0,7.0,1.0,-999.0,-999.0,3451 , 370,112.0
67,IN,FORT WAYNE    ,0,FWA,229.0,-52.0,111.0,0.0,1.0,-999.0,-999.0,3155 , 339,112.0
145,NY,ALBANY        ,0,ALB,222.0,-109.0,92.0,9.0,2.0,-999.0,-999.0,3230 , 347,112.0
92,ME,CARIBOU       ,0,CAR,487.0,160.0,116.0,1.0,4.0,-999.0,-999.0,3139 , 337,112.0
34,DE,WILMINGTON    ,0,ILG,48.0,-353.0,19.0,4.0,0.0,-999.0,-999.0,3739 , 431,113.0
152,NC,GREENSBORO    ,0,GSO,56.0,-373.0,54.0,3.0,1.0,-999.0,-999.0,3865 , 475,114.0
98,MI,DETROIT       ,0,DTW,344.0,17.0,99.0,5.0,2.0,-999.0,-999.0,2904 , 357,114.0
165,OH,CLEVELAND     ,0,CLE,129.0,-248.0,76.0,9.0,1.0,-999.0,-999.0,3362 , 413,114.0
221,TX,WACO          ,0,ACT,17.0,-271.0,17.0,1.0,0.0,-999.0,-999.0,2767 , 340,114.0
200,TN,JACKSON       ,0,MKL,107.0,-269.0,97.0,2.0,1.0,-999.0,-999.0,4778 , 660,116.0
150,NC,ASHEVILLE     ,0,AVL,90.0,-282.0,39.0,5.0,0.0,-999.0,-999.0,4261 , 588,116.0
44,FL,ST PETERSBURG ,1,PIE,172.0,-587.0,139.0,4.0,1.0,-999.0,-999.0,4923 , 680,116.0
85,KY,LOUISVILLE    ,0,SDF,4.0,-301.0,4.0,1.0,0.0,-999.0,-999.0,3982 , 550,116.0
19,CA,FRESNO        ,0,FAT,0.0,-26.0,0.0,0.0,0.0,-999.0,-999.0,952  ,139,117.0
147,NY,BUFFALO       ,0,BUF,627.0,243.0,214.0,4.0,5.0,-999.0,-999.0,3463 , 504,117.0
41,FL,MIAMI         ,0,MIA,324.0,-514.0,68.0,1.0,3.0,-999.0,-999.0,5517 , 842,118.0
167,OH,DAYTON        ,0,DAY,70.0,-195.0,55.0,3.0,1.0,-999.0,-999.0,3593 , 549,118.0
149,NY,SYRACUSE      ,0,SYR,349.0,-66.0,115.0,3.0,2.0,-999.0,-999.0,3544 , 541,118.0
151,NC,CHARLOTTE     ,0,CLT,19.0,-364.0,19.0,1.0,0.0,-999.0,-999.0,3931 , 600,118.0
60,ID,POCATELLO     ,0,PIH,173.0,84.0,41.0,0.0,0.0,-999.0,-999.0,1105 , 169,118.0
95,MA,BOSTON        ,0,BOS,217.0,-130.0,111.0,8.0,1.0,-999.0,-999.0,3680 , 588,119.0
129,NE,LINCOLN       ,0,LNK,202.0,-90.0,115.0,9.0,1.0,-999.0,-999.0,2854 , 456,119.0
183,PA,PHILADELPHIA  ,0,PHL,117.0,-271.0,24.0,9.0,0.0,-999.0,-999.0,3910 , 625,119.0
9,AK,KING SALMON   ,0,AKN,606.0,325.0,121.0,4.0,4.0,-999.0,-999.0,1720 , 287,120.0
186,PA,WILLIAMSPORT  ,0,IPT,153.0,-245.0,110.0,7.0,1.0,-999.0,-999.0,3829 , 639,120.0
26,CO,ALAMOSA       ,1,ALS,73.0,-16.0,26.0,5.0,0.0,-999.0,-999.0,697  ,121,121.0
75,IA,WATERLOO      ,0,ALO,505.0,210.0,156.0,5.0,3.0,-999.0,-999.0,3329 , 578,121.0
84,KY,LONDON-CORBIN ,2,LOZ,11.0,-326.0,7.0,3.0,0.0,-999.0,-999.0,4412 , 766,121.0
126,MT,MISSOULA      ,0,MSO,244.0,136.0,70.0,1.0,2.0,-999.0,-999.0,1316 , 229,121.0
166,OH,COLUMBUS      ,0,CMH,85.0,-207.0,55.0,6.0,1.0,-999.0,-999.0,3668 , 662,122.0
68,IN,INDIANAPOLIS  ,0,IND,49.0,-239.0,25.0,4.0,0.0,-999.0,-999.0,3852 , 695,122.0
116,MO,SPRINGFIELD   ,0,SGF,161.0,-322.0,102.0,5.0,1.0,-999.0,-999.0,4169 , 780,123.0
102,MI,LANSING       ,0,LAN,270.0,-78.0,83.0,0.0,2.0,-999.0,-999.0,3005 , 562,123.0
131,NE,NORFOLK       ,0,OFK,156.0,-69.0,61.0,1.0,1.0,-999.0,-999.0,2818 , 527,123.0
143,NJ,NEWARK        ,0,EWR,160.0,-241.0,119.0,4.0,1.0,-999.0,-999.0,4431 , 858,124.0
69,IN,SOUTH BEND    ,0,SBN,657.0,278.0,301.0,2.0,3.0,-999.0,-999.0,3715 , 720,124.0
215,TX,HOUSTON       ,0,IAH,1496.0,1063.0,921.0,9.0,5.0,-999.0,-999.0,4418 , 884,125.0
177,OR,PENDLETON     ,0,PDT,111.0,48.0,35.0,0.0,0.0,-999.0,-999.0,1085 , 217,125.0
163,OH,AKRON-CANTON  ,0,CAK,167.0,-176.0,45.0,9.0,0.0,-999.0,-999.0,3744 , 749,125.0
122,MT,GREAT FALLS   ,0,GTF,213.0,90.0,64.0,0.0,3.0,-999.0,-999.0,1593 , 319,125.0
97,MI,ALPENA        ,0,APN,349.0,69.0,109.0,4.0,2.0,-999.0,-999.0,2781 , 557,125.0
78,KS,GOODLAND      ,0,GLD,-99.0,-99.0,-99.0,9.0,9.0,-999.0,-999.0,2190 , 438,125.0
168,OH,MANSFIELD     ,1,MFD,379.0,35.0,149.0,9.0,2.0,-999.0,-999.0,4241 , 876,126.0
46,FL,TAMPA         ,0,TPA,144.0,-510.0,51.0,7.0,1.0,-999.0,-999.0,4875 ,1006,126.0
88,LA,LAKE CHARLES  ,0,LCH,379.0,-216.0,172.0,5.0,3.0,-999.0,-999.0,5603 ,1192,127.0
104,MI,TRAVERSE CITY ,1,TVC,594.0,236.0,204.0,4.0,4.0,-999.0,-999.0,3224 , 706,128.0
6,AK,COLD BAY      ,2,ACD,601.0,150.0,92.0,6.0,3.0,-999.0,-999.0,3407 , 746,128.0
201,TN,KNOXVILLE     ,0,TYS,3.0,-301.0,3.0,1.0,0.0,-999.0,-999.0,4826 ,1114,130.0
76,KS,CONCORDIA     ,0,CNK,218.0,-32.0,143.0,7.0,1.0,-999.0,-999.0,3152 , 728,130.0
198,TN,BRISTOL       ,0,TRI,68.0,-240.0,68.0,1.0,1.0,-999.0,-999.0,4221 , 975,130.0
20,CA,LOS ANGELES   ,0,LAX,0.0,-26.0,0.0,0.0,0.0,-999.0,-999.0,1286 , 297,130.0
130,NE,MCCOOK        ,0,MCK,64.0,-73.0,31.0,5.0,0.0,-999.0,-999.0,2426 , 560,130.0
202,TN,MEMPHIS       ,0,MEM,12.0,-319.0,10.0,2.0,0.0,-999.0,-999.0,5235 ,1239,131.0
243,WI,MILWAUKEE     ,0,MKE,700.0,370.0,141.0,1.0,5.0,-999.0,-999.0,3594 , 851,131.0
133,NE,OMAHA/EPPLEY  ,0,OMA,587.0,270.0,280.0,2.0,4.0,-999.0,-999.0,3305 , 783,131.0
113,MO,COLUMBIA      ,0,COU,252.0,-90.0,127.0,5.0,3.0,-999.0,-999.0,4076 , 965,131.0
203,TN,NASHVILLE     ,0,BNA,2.0,-357.0,1.0,2.0,0.0,-999.0,-999.0,4797 ,1163,132.0
70,IA,BURLINGTON    ,0,BRL,823.0,463.0,213.0,1.0,5.0,-999.0,-999.0,4016 , 997,133.0
74,IA,SIOUX CITY    ,0,SUX,400.0,158.0,221.0,3.0,2.0,-999.0,-999.0,2924 , 726,133.0
71,IA,CEDAR RAPIDS  ,0,CID,652.0,325.0,124.0,6.0,3.0,-999.0,-999.0,3652 , 907,133.0
101,MI,HOUGHTON LAKE ,0,HTL,485.0,174.0,137.0,4.0,5.0,-999.0,-999.0,2962 , 735,133.0
16,AR,LITTLE ROCK   ,0,LIT,136.0,-235.0,114.0,5.0,1.0,-999.0,-999.0,4861 ,1234,134.0
117,MO,ST JOSEPH     ,0,STJ,433.0,42.0,133.0,9.0,3.0,-999.0,-999.0,3826 , 992,135.0
25,CA,STOCKTON      ,1,SCK,23.0,-10.0,21.0,2.0,0.0,-999.0,-999.0,1270 , 330,135.0
24,CA,SAN FRANCISCO ,0,SFO,6.0,-14.0,4.0,2.0,0.0,-999.0,-999.0,1848 , 480,135.0
17,CA,BAKERSFIELD   ,0,BFL,2.0,-13.0,2.0,1.0,0.0,-999.0,-999.0,652  ,170,135.0
